"run_id","classifier","cone_projection","xzero_prediction","source_class","source_class_name","target_class","target_class_name","target_class_conf_std","target_class_conf_mean","original_class_conf_std","original_class_conf_mean","fid","target_class_validity","original_class_validity","lp_norm_1","lp_norm_1_5","lp_norm_2","lpips","oracle_MNR-RN50","oracle_tcv_MNR-RN50","oracle_AlexNet (pretrained)","oracle_tcv_AlexNet (pretrained)","oracle_AlexNet (random init)","oracle_tcv_AlexNet (random init)","oracle_UnetEncoder","oracle_tcv_UnetEncoder","oracle_ConvNeXt-L","oracle_tcv_ConvNeXt-L","oracle_SIMCLR","oracle_tcv_SIMCLR","oracle_SwinTFL","oracle_tcv_SwinTFL"
"run_Chesapeake-Bay-retriever(209)_to_alp(970)","AlexNetClassifier","false","false","209","Chesapeake Bay retriever","970","alp","0.051757872104644775","0.018595589324831963","0.1521555483341217","0.08216507732868195","1.3242923021316528","0.019999999552965164","0.17999999225139618","970175","5853.33349609375","495.70355224609375","0.22477495670318604","0.19999998807907104","0","1","0.019999999552965164","0","0","0.1599999964237213","0","0.17999999225139618","0","0","0","0.1599999964237213","0"
"run_Chesapeake-Bay-retriever(209)_to_cliff(972)","AlexNetClassifier","false","false","209","Chesapeake Bay retriever","972","cliff","0.20910724997520447","0.11262784153223038","0.15548399090766907","0.087925985455513","0.9002010226249695","0.2800000011920929","0.1599999964237213","983744.1875","5935.26611328125","502.62237548828125","0.22580690681934357","0.14000000059604645","0","1","0.2800000011920929","0","0","0.1599999964237213","0","0.1599999964237213","0","0","0","0.17999999225139618","0"
"run_Chesapeake-Bay-retriever(209)_to_volcano(980)","AlexNetClassifier","false","false","209","Chesapeake Bay retriever","980","volcano","0.25663089752197266","0.11875897645950317","0.1352068930864334","0.07040224224328995","1.1469039916992188","0.19999998807907104","0.1599999964237213","976952.5","5895.4052734375","499.30877685546875","0.22529247403144836","0.1599999964237213","0","1","0.19999998807907104","0","0","0.14000000059604645","0","0.1599999964237213","0","0","0","0.17999999225139618","0"
"run_Chesapeake-Bay-retriever(209)_to_pizza(963)","AlexNetClassifier","false","false","209","Chesapeake Bay retriever","963","pizza","0.01880691759288311","0.006299147382378578","0.22754763066768646","0.15175536274909973","1.3009283542633057","0.019999999552965164","0.3199999928474426","968625.6875","5844.4267578125","494.99566650390625","0.22487512230873108","0.1599999964237213","0","1","0.019999999552965164","0","0","0.17999999225139618","0","0.29999998211860657","0","0","0","0.2800000011920929","0"
"run_Chesapeake-Bay-retriever(209)_to_burrito(965)","AlexNetClassifier","false","false","209","Chesapeake Bay retriever","965","burrito","0.1393808275461197","0.048014894127845764","0.22390075027942657","0.16097818315029144","1.3178410530090332","0.09999999403953552","0.3199999928474426","967820.8125","5836.82958984375","494.2159729003906","0.22584927082061768","0.1599999964237213","0","1","0.09999999403953552","0","0","0.19999998807907104","0","0.2800000011920929","0","0","0","0.2800000011920929","0"
"run_mashed-potato(935)_to_leopard(288)","AlexNetClassifier","false","false","935","mashed potato","288","leopard","0.007199905812740326","0.002239745808765292","0.18353331089019775","0.12933292984962463","1.175236701965332","0","0.3199999928474426","737176.875","4489.7353515625","385.7471923828125","0.23261818289756775","0.35999998450279236","0","1","0","0","0","0.29999998211860657","0","0.3799999952316284","0","0","0","0.3199999928474426","0"
"run_mashed-potato(935)_to_tiger(292)","AlexNetClassifier","false","false","935","mashed potato","292","tiger","0.01301563810557127","0.004105790052562952","0.16505005955696106","0.10900486260652542","1.1105185747146606","0","0.25999999046325684","736813.75","4485.89306640625","385.3193664550781","0.2299404889345169","0.3400000035762787","0","1","0","0","0","0.3199999928474426","0","0.25999999046325684","0","0","0","0.3400000035762787","0"
"run_mashed-potato(935)_to_golden-retriever(207)","AlexNetClassifier","false","false","935","mashed potato","207","golden retriever","0.1675233393907547","0.07280132919549942","0.20972010493278503","0.1485968381166458","0.7785230278968811","0.1599999964237213","0.3199999928474426","746279.125","4542.6787109375","390.0971374511719","0.22208158671855927","0.4399999976158142","0","1","0.1599999964237213","0","0","0.3199999928474426","0","0.3400000035762787","0","0","0","0.3999999761581421","0"
"run_mashed-potato(935)_to_Labrador-retriever(208)","AlexNetClassifier","false","false","935","mashed potato","208","Labrador retriever","0.18507681787014008","0.0704629048705101","0.18867921829223633","0.1482316106557846","0.9635882377624512","0.11999999731779099","0.29999998211860657","741216.5","4516.29248046875","388.3225402832031","0.22205528616905212","0.3799999952316284","0","1","0.11999999731779099","0","0","0.2800000011920929","0","0.3199999928474426","0","0","0","0.35999998450279236","0"
"run_mashed-potato(935)_to_guacamole(924)","AlexNetClassifier","false","false","935","mashed potato","924","guacamole","0.3604013919830322","0.41767826676368713","0.21531102061271667","0.2115165889263153","0.6181414127349854","0.5600000023841858","0.35999998450279236","753261.3125","4595.7255859375","395.214111328125","0.22069978713989258","0.1599999964237213","0","1","0.5600000023841858","0","0","0.29999998211860657","0.019999999552965164","0.3799999952316284","0.019999999552965164","0","0","0.3799999952316284","0"
